ticker,permno,sector
SPY,84398,S&P500 Broad Market
XLB,86449,Materials
XLC,17940,Communication Services
XLE,86454,Energy
XLF,86455,Financials
XLI,86456,Industrials
XLK,86457,Technology
XLP,86452,Consumer Staples
XLRE,15732,Real Estate
XLU,86458,Utilities
XLV,86451,Health Care
XLY,86453,Consumer Discretionary
